"","dsd_n_1","district_n","province_n","ntlt_mean"
"131","Valikamam North","Jaffna","Northern",1.47758664284553
"132","Kebithigollewa","Anuradhapura","North Central",0.00679460426007081
"133","Kegalle","Kegalle","Sabaragamuwa",0.376615910964003
"134","Kekirawa","Anuradhapura","North Central",0.156619992543531
"135","Kelaniya","Gampaha","Western",10.1818307209015
"136","Kesbewa","Colombo","Western",5.48410466892852
"137","Kinniya","Trincomalee","Eastern",0.44631457819267
"138","Kiriella","Rathnapura","Sabaragamuwa",0.0525888821065898
"139","Paduwasnuwara East","Kurunegala","North Western",0.0546013621627822
"140","Kirinda Puhulwella","Matara","Southern",0.0937788058253168
"141","Kolonna","Rathnapura","Sabaragamuwa",0.0347995372137166
"142","Kolonnawa","Colombo","Western",10.3732360166217
"143","Koralai Pattu  West (Oddamavadi)","Batticaloa","Eastern",1.85715351768376
"144","Koralai Pattu South (Kiran)","Batticaloa","Eastern",0.0847889984785702
"145","Kotapola","Matara","Southern",0.0968171058319756
